               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.015575,           0.0081801,                   0,              0.7473,              0.6192,             0.66635,             0.42326,            0.048919,           0.0091845,                   0,           0.0089338,           0.0089338,           0.0089338
                  72,            0.015552,           0.0082535,                   0,             0.81954,             0.58089,             0.67254,             0.42971,            0.050428,           0.0093385,                   0,           0.0089186,           0.0089186,           0.0089186
                  73,            0.015783,           0.0082282,                   0,             0.75187,             0.59722,             0.66614,             0.43067,            0.051289,           0.0089376,                   0,           0.0089034,           0.0089034,           0.0089034
                  74,            0.015238,           0.0081944,                   0,              0.7934,              0.5995,             0.67463,             0.43426,            0.049908,           0.0093367,                   0,           0.0088882,           0.0088882,           0.0088882
                  75,            0.015308,           0.0081298,                   0,             0.76992,             0.59414,             0.66792,             0.43007,            0.049663,           0.0092777,                   0,           0.0088729,           0.0088729,           0.0088729
                  76,            0.015251,           0.0081046,                   0,             0.80629,             0.59259,              0.6811,             0.44154,             0.04774,           0.0091256,                   0,           0.0088577,           0.0088577,           0.0088577
                  77,            0.015177,           0.0079138,                   0,             0.81431,             0.56857,             0.66353,             0.43165,            0.048145,           0.0095108,                   0,           0.0088425,           0.0088425,           0.0088425
                  78,            0.014925,           0.0079726,                   0,             0.80786,             0.58114,             0.66791,             0.43531,            0.048314,           0.0094591,                   0,           0.0088272,           0.0088272,           0.0088272
                  79,            0.014942,           0.0081411,                   0,             0.77965,             0.60278,             0.66664,             0.42991,             0.04928,           0.0093583,                   0,            0.008812,            0.008812,            0.008812
                  80,            0.014938,           0.0080765,                   0,             0.77508,             0.61265,             0.67449,             0.43937,             0.05084,           0.0090287,                   0,           0.0087968,           0.0087968,           0.0087968
                  81,             0.01535,           0.0082212,                   0,             0.77753,             0.58423,             0.66346,             0.42826,            0.049169,           0.0089903,                   0,           0.0087815,           0.0087815,           0.0087815
                  82,            0.015079,           0.0082485,                   0,              0.7847,             0.60181,              0.6659,             0.42434,            0.049593,           0.0091439,                   0,           0.0087663,           0.0087663,           0.0087663
                  83,            0.015388,           0.0083627,                   0,             0.80098,              0.5805,               0.679,             0.44055,            0.049485,           0.0094422,                   0,           0.0087511,           0.0087511,           0.0087511
                  84,            0.014925,           0.0080031,                   0,             0.75057,             0.63426,             0.67458,              0.4288,            0.048511,           0.0092539,                   0,           0.0087358,           0.0087358,           0.0087358
                  85,            0.015342,           0.0081442,                   0,             0.78167,              0.5963,             0.66454,             0.43108,            0.048561,           0.0093292,                   0,           0.0087206,           0.0087206,           0.0087206
                  86,            0.014927,           0.0078734,                   0,             0.82084,             0.59577,             0.67047,             0.43326,             0.04771,           0.0093357,                   0,           0.0087054,           0.0087054,           0.0087054
                  87,            0.014507,           0.0077625,                   0,             0.80791,             0.60178,              0.6886,              0.4423,            0.046284,           0.0093037,                   0,           0.0086902,           0.0086902,           0.0086902
                  88,            0.014869,           0.0080224,                   0,             0.82286,             0.61312,             0.70107,             0.45122,            0.046211,            0.009143,                   0,           0.0086749,           0.0086749,           0.0086749
